Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
94	-	Base	1	0.000766778	0.00194245	0.00117567	-	-37093	7609.3	1.09519e-06	91283	agefirstsex.baseline	Auto-ImpOnly	4	Auto-ImpOnly:4	0.0200036	0.0383320002399568
95	-	Base	1	0.000572394	0.00178778	0.00121538	-	-31784.5	7549.33	2.55822e-05	91208	agefirstsex.baseline	Auto-ImpOnly	5	Auto-ImpOnly:5	0.00741382	0.0772063524606748
96	-	Base	1	0.000724021	0.00298603	0.00226201	-	-35761.5	7542.55	2.13297e-06	91315	agefirstsex.baseline	Auto-ImpOnly	6	Auto-ImpOnly:6	0.0159897	0.045280461797282
97	-	Base	1	0.000780508	0.00228585	0.00150534	-	-37778.8	7676.48	8.6381e-07	91268	agefirstsex.baseline	Auto-ImpOnly	7	Auto-ImpOnly:7	0.00879752	0.0887190935627313
98	-	Base	1	0.000780823	0.00212817	0.00134735	-	-37486.7	7609.44	8.42123e-07	91211	agefirstsex.baseline	Auto-ImpOnly	8	Auto-ImpOnly:8	0.0113294	0.0689200663759775
99	-	Base	1	0.000965126	0.0029804	0.00201528	-	-41615.2	7602.45	4.43597e-08	91243	agefirstsex.baseline	Auto-ImpOnly	9	Auto-ImpOnly:9	0.0137731	0.0700732587434928
100	-	Base	1	0.00138847	0.00280384	0.00141537	-	-49290.4	7507.05	5.25458e-11	91177	agefirstsex.baseline	Auto-ImpOnly	10	Auto-ImpOnly:10	0.00809323	0.171559439185591
101	-	Base	1	0.00155932	0.00343045	0.00187112	-	-53889.8	7749.45	3.6208e-12	91279	agefirstsex.baseline	Auto-ImpAll	1	Auto-ImpAll:1	0.0162222	0.0961225974282157
102	-	Base	1	0.00086554	0.00289496	0.00202942	-	-39499.5	7610.51	2.11472e-07	91307	agefirstsex.baseline	Auto-ImpAll	2	Auto-ImpAll:2	0.0110602	0.078257174372977
103	-	Base	1	0.00123666	0.00273387	0.00149722	-	-48089.9	7763.18	5.91613e-10	91294	agefirstsex.baseline	Auto-ImpAll	3	Auto-ImpAll:3	0.0204449	0.0604874565295013
104	-	Base	1	0.000879005	0.00205467	0.00117567	-	-40370.3	7734.46	1.80525e-07	91283	agefirstsex.baseline	Auto-ImpAll	4	Auto-ImpAll:4	0.0264835	0.0331906658863066
105	-	Base	1	0.000664631	0.00188002	0.00121538	-	-34783.2	7666.55	5.72726e-06	91208	agefirstsex.baseline	Auto-ImpAll	5	Auto-ImpAll:5	0.0145977	0.0455298437425074
106	-	Base	1	0.00109403	0.00335604	0.00226201	-	-44446.9	7624.75	5.62127e-09	91315	agefirstsex.baseline	Auto-ImpAll	6	Auto-ImpAll:6	0.0214086	0.051102360733537
