PRSPheno	SampleSize	pheno	meanp	meanratio	sdratio	meanr2	cvr2	meanthresh	meanlogp	sdthresh	sdlogp	sdsnp	meansnp	lower	upper
38	GPpsy	DS_100K	neuroticism.sensitivity	4.90509238294718e-06	0.233964596079287	0.117616469442296	0.0014545264	0.400285432328273	0.41	0.531875876262441	0.341402336775183	0.385914977829933	38385.0005805219	82838.7	0.00343631597238678	0.464492876186188
39	GPpsy	DS_100K	neuroticism.tense	6.06396177071815e-07	0.389661547918522	0.218563539290598	0.002281178	0.325145109802393	0.41	0.639794000867204	0.419523539268061	0.519344549322947	47985.7338410768	75871.4	-0.0387229890910501	0.818046084928095
40	GPpsy	DS_100K	neuroticism.worrytoolong	0.000226729389161	0.144334528000661	0.0835182731555614	0.000872917	0.360416936921321	0.3652	1.0698970004336	0.443319749165317	1.11669160510323	55280.5769522875	64324.2	-0.019361287384239	0.308030343385562
41	GPpsy	DS_100K	neuroticismscore.baseline	2.80063068694338e-17	0.556700344724178	0.218522977154914	0.003397211	0.20593731216061	0.32	0.639794000867204	0.289827534923789	0.368683674343553	36233.1315862215	72258.9	0.128395309500547	0.985005379947809
42	GPpsy	DS_100K	nvehicles.baseline	0.068091896	0.0260070600582547	0.0165545357901971	0.00015520313	0.528332467427522	0.2301	0.979588001734408	0.290696653651955	0.78454146926758	37727.484493698	55086	-0.00643983009053166	0.058453950207041
43	GPpsy	DS_100K	otheractivity.baseline	0.30072771	0.0131165623012373	0.0135684018314596	6.971022e-05	0.772707075745342	0.1954	1.60969100130081	0.311036332282902	1.24352108668867	46917.818392021	42278	-0.0134775052884234	0.0397106298908981
44	GPpsy	DS_100K	otherqualifications.baseline	0.084843259	0.0365666513090179	0.026899883723353	0.00019760533	0.630392897688129	0.1554	1.7301029995664	0.306596441234692	1.16058373204027	43635.9841669948	33776	-0.0161571207887539	0.0892904234067897
45	GPpsy	DS_100K	physworkinjob.baseline	0.2334032872	0.0397009719804538	0.0592394143360785	0.00020417417	1.23221203663874	0.2053	1.40969100130081	0.305690856912666	1.15257519603122	44758.3889765682	46087	-0.07640828011826	0.155810224079168
46	GPpsy	DS_100K	Psypsy	2.4843682322e-12	0.58343616201782	0.259730625697146	0.00343539	0.139037418198202	0.445	0.539794000867204	0.400312378024962	0.45015537342747	43550.7835608806	83131.1	0.0743641356514142	1.09250818838423
47	GPpsy	DS_100K	self.bronchitis	0.0394146995613	0.122043422356506	0.0735665144868376	0.0008657199	0.785979834106905	0.265	0.81249387366083	0.304640042600371	0.471280960379468	40987.6336370699	60477.5	-0.0221469460376957	0.266233790750708
48	GPpsy	DS_100K	self.highbloodpressure	0.02603239805	0.0681343083763251	0.0391250824487913	0.00040506278	0.515238152617466	0.1402	1.31249387366083	0.155792454531305	0.943488604581695	33213.5106913504	41306	-0.00855085322330579	0.144819469975956
49	GPpsy	DS_100K	self.stroke	0.246273175	0.0669656014052923	0.0653651831045895	0.00033344566	0.878434964808362	0.1204	1.7301029995664	0.179518615562101	1.14026164234061	38432.2517598609	32899	-0.0611501574797031	0.195081360290288
50	GPpsy	DS_100K	SelfRepDep	1.1770986303729e-06	0.450337421789774	0.158459466512568	0.00283197	0.379055039386362	0.3	0.704575749056068	0.289635786616379	0.43530665792958	38035.5899770202	68422.3	0.139756867425141	0.760917976154408
51	GPpsy	DS_100K	sibling.bronchitis	0.0847024899	0.140879461087015	0.104576506882978	0.00089880763	0.612091324818364	0.3401	0.9	0.38272718743251	0.883358016949947	49654.1733163823	66452.8	-0.0640904924036223	0.345849414577652
