Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
70	-	Base	1	0.00101186	0.00230175	0.00128989	-	9512.33	1650.75	8.36514e-09	116103	abletoconfide.baseline	MTAG.Envs	10	MTAG.Envs:10	0.0169655	0.0596422150835519
71	-	Base	1	0.000197663	0.000881003	0.00068334	-	3662.02	1439.61	0.0109714	116103	abletoconfide.baseline	MTAG.FamilyHistory	1	MTAG.FamilyHistory:1	0.00739916	0.0267142486444407
72	-	Base	1	2.38452e-06	0.000955211	0.000952827	-	-396.348	1418.96	0.779998	111248	abletoconfide.baseline	MTAG.FamilyHistory	2	MTAG.FamilyHistory:2	0.00332641	0.000716844886829946
73	-	Base	1	0.000118473	0.00105661	0.000938134	-	2846.15	1444.15	0.0487542	116103	abletoconfide.baseline	MTAG.FamilyHistory	3	MTAG.FamilyHistory:3	0.00835418	0.0141812840996962
74	-	Base	1	0.000130031	0.00132352	0.00119349	-	2971.99	1438	0.0387656	116103	abletoconfide.baseline	MTAG.FamilyHistory	4	MTAG.FamilyHistory:4	0.0130457	0.00996734556213925
75	-	Base	1	3.95789e-05	0.000880902	0.000841323	-	1553.32	1364.01	0.2548	106880	abletoconfide.baseline	MTAG.FamilyHistory	5	MTAG.FamilyHistory:5	0.00342996	0.0115391724684836
76	-	Base	1	0.000305358	0.00190058	0.00159522	-	4571.14	1445.75	0.00156949	116103	abletoconfide.baseline	MTAG.FamilyHistory	6	MTAG.FamilyHistory:6	0.01253	0.0243701516360734
77	-	Base	1	5.3224e-05	0.000762542	0.000709318	-	1940.92	1470.33	0.186825	116103	abletoconfide.baseline	MTAG.FamilyHistory	7	MTAG.FamilyHistory:7	0.00650301	0.00818451763106623
78	-	Base	1	3.86568e-08	0.000997097	0.000997058	-	-52.2731	1469.29	0.97162	116103	abletoconfide.baseline	MTAG.FamilyHistory	8	MTAG.FamilyHistory:8	0.015891	2.43262223900321e-06
79	-	Base	1	1.3543e-05	0.000921057	0.000907514	-	-971.775	1459.11	0.505413	116103	abletoconfide.baseline	MTAG.FamilyHistory	9	MTAG.FamilyHistory:9	0.0117421	0.00115337120276612
80	-	Base	1	0.000167328	0.00145722	0.00128989	-	3272.31	1397.04	0.01917	111159	abletoconfide.baseline	MTAG.FamilyHistory	10	MTAG.FamilyHistory:10	0.00740486	0.0225970511258822
